Headlines,Summary,Time
Non-teaching staff undeterred by rain,"ISLAMABAD, March 13: Rain in the capital could not quell the recent protests by government employees, many of whom have been maintaining their sit-ins for several days. 
    ",13/03/2013
Spring rain comes after 14 years,"ISLAMABAD, March 13: For youngsters, spring rain is an unusual phenomenon as the twin cities of Rawalpindi and Islamabad on Wednesday received their first rainfall of this season after 14 years. 
    ",13/03/2013
Work on Marrir Chowk stopped,"RAWALPINDI: After the rain, the Rawalpindi Development Authority (RDA) on Wednesday stopped National Logistic Cell (NLC) from working on Marrir Hassan Chowk road expansion project to avoid any mishap. 
    ",13/03/2013
Fazl advises Taliban not to act in haste,"BANNU, March 13: Chief of his own faction of Jamiat Ulema-i-Islam Maulana Fazlur Rehman has said that both Taliban and the government should take the efforts for restoration of peace seriously. 
    ",13/03/2013
Separate courts needed to save children at risk,"PESHAWAR, March 13: Speakers at a workshop have recommended establishment of separate and independent courts under Juvenile Justice System Ordinance 2000 and Khyber Pakhtunkhwa Child 
    ",13/03/2013
Fazl advises Taliban not to act in haste,"BANNU, March 13: Chief of his own faction of Jamiat Ulema-i-Islam Maulana Fazlur Rehman has said that both Taliban and the government should take the efforts for restoration of peace seriously. 
    ",13/03/2013
Peshawar police say: Security to poll rallies impossible,"PESHAWAR, March 13: The local police have refused to provide security to politicians and participants of public meetings during the election campaign, according to sources. 
    ",13/03/2013
Security beefed up in GB,"GILGIT, March 13: The Gilgit-Baltistan government on Wednesday beefed up security in the region in general and in the Gilgit city in particular following reports of possible sabotage attempts. 
    ",13/03/2013
FC redeployment cas: PHC warns officials of contempt proceedings,"PESHAWAR, March 13: The Peshawar High Court on Wednesday gave 15 more days to the interior ministry for redeploying several Frontier Constabulary (FC) platoons to Khyber Pakhtunkhwa from other parts of the country and warned 
    ",13/03/2013
Gandhara artefacts impress US envoy,"PESHAWAR, March 13: US Ambassador Richard Olson on Wednesday visited Peshawar Museum and said he was much impressed by ancient Gandhara artefacts and Buddha sculptures displayed there. 
    ",13/03/2013
Inquiry ordered into use of children in bomb blasts,"Nawab Aslam Raisani constituted a judicial inquiry into the alleged involvement of 11 children in acts of terrorism. 
    ",20/03/2013
E-voting not feasible now for overseas Pakistanis: ECP,"ISLAMABAD, March 19: The Election Commission of Pakistan and the government appeared to be poles apart in the Supreme Court on Tuesday on the issue of extending the facility of electronic voting to Pakistanis living abroad 
    ",20/03/2013
Nomination of Maulana Wasey declared void: BHC restores Tariq Magsi as leader of opposition,"QUETTA, March 19: The Balochistan High Court has declared unconstitutional the notification issued by the speaker nominating Maulana Abdul Wasey as the leader of opposition in the provincial assembly 
    ",20/03/2013
Nespak facing financial crisis,"ISLAMABAD, March 19: The National Engineering Services of Pakistan (Nespak) is facing a financial crisis because of non-recovery of receivables that have crossed the figure of Rs6 billion, according to sources 
    ",20/03/2013
Lawmaker in US seeks cut in aid to Pakistan,"A US lawmaker has asked the administration to reduce its aid to Pakistan to offset the impact of sequestration on funds needed for projects at home. 
    ",20/03/2013
Extension of contract criticised,"ISLAMABAD, March 19: Criticising extension of a mining agreement with a Chinese firm till October 2017, a Senate committee has called for strict monitoring of mining and independent testing of samples from the Saindak copper-gold project in Balochistan to 
    ",20/03/2013
SC informed: CDA boss was transferred ‘by mistake’,"ISLAMABAD, March 19: As the deadlock continued over formation of a caretaker set-up, the one-man government on Tuesday came up with a strange explanation before the Supreme Court of Pakistan for the premature transfer of CDA Chairman Syed Tahir Shahbaz 
    ",20/03/2013
‘N’ begins campaign in Mansehra,"MANSEHRA, March 19: The two possible Pakistan Muslim League-Nawaz candidates on Tuesday formally began election campaigns in their respective constituencies in Mansehra 
    ",20/03/2013
Swine flu takes surgeon’s life,"RAWALPINDI, March 19: On Tuesday night, a surgeon from Gujar Khan died at Holy Family Hospital, becoming the city's second death this year from swine flu (Influenza H1N1) 
    ",20/03/2013
Prisoner exchange: Senate body wants treaty with US,"ISLAMABAD, March 19: The Senate standing committee on interior and narcotics control on Tuesday directed the ministry of foreign affairs to initiate work on signing of a treaty with the United States for exchange of prisoners 
    ",20/03/2013
Islamabad police keep track of elusive criminal,"ISLAMABAD, March 19: Three Islamabad police officers who went hunting for a Pakistani criminal hiding in Afghanistan located him near the city of Jalalabad but returned home Tuesday empty handed 
    ",20/03/2013
"Complaint filed against Musharraf, others","ISLAMABAD, March 19: The Lal Masjid administration on Tuesday lodged a complaint with the Aabpara police seeking registration of a case against former President Pervez Musharraf, ex-Prime Minister Shaukat Aziz and two of their ministers on the charges of  
    ",20/03/2013
In violation of ECP ban: Censor board chairman appointed,"ISLAMABAD, March 19: A week before the departure of the government, Prime Minister Raja Pervez Ashraf, in clear violation of the Election Commission of Pakistan (ECP) directive, appointed Central Board of Film Censors (CBFC) chairman 
    ",20/03/2013
Interim CM to be sworn in today: KP Assembly dissolved,"PESHAWAR, March 19: Khyber Pakhtunkhwa Governor Engineer Shaukatullah Khan on Tuesday dissolved the provincial assembly on the advice of provincial Chief Minister Ameer Haider Khan Hoti 
    ",20/03/2013
As lawyers boycott courts: PHC CJ supervises probe into Judicial Complex bombing,"PESHAWAR, March 19: As lawyers on Tuesday began a three-day mourning against the bombing of Judicial Complex in the provincial capital, Peshawar High Court Chief Justice Dost Mohammad Khan said he had himself been supervising the investigation to trace th 
    ",20/03/2013
Change in results raises questions about IMS test,"PESHAWAR, March 19: Institute of Management Sciences, Hayatabad has changed the results of its MBA entry test, raising questions about the fairness of the exercise 
    ",20/03/2013
FC man killed in Charsadda attack,"CHARSADDA/KHAR, March 19: Unidentified persons killed a soldier of Frontier Constabulary and injured two policemen ... 
    ",20/03/2013
TB on the rise in KP,"PESHAWAR, March 19: Health experts have said that prevention of tuberculosis is still a big challenge in Khyber Pakhtunkhwa as the number of patients has increased during the last one year in the province 
    ",20/03/2013
Nowshera PPP splits ahead of elections,"NOWSHERA, March 19: A deep split within Pakistan People’s Party in Nowshera is likely to adversely affect the Asif Zardari-led party’s performance in the district during the coming elections 
    ",20/03/2013
Intra-party polls deepen rift in PTI Khyber,"LANDI KOTAL/PESHAWAR, March 19: The intra-party elections held by Pakistan Tehrik-i-Insaf (PTI) resulted in intensifying differences in its Khyber Agency chapter as a group in the party refused to accept results of the polls 
    ",20/03/2013
MQM to form next govt in Sindh: Altaf,"Altaf Hussain said that his party would field candidates in all parts of the country in the coming elections. He expressed the hope that his party would form next govt in Sindh. 
    ",22/03/2013
Balochistan wrangling lands in SC,"ISLAMABAD, March 21: A row over the appointment of the leader of opposition in Balochistan reached the Supreme Court in Islamabad on Thursday 
    ",22/03/2013
"Muzaffarabad paralysed by strike, clashes","MUZAFFARABAD, March 21: Traders observed a complete strike here on Thursday, demanding an end to loadshedding and reconstruction and development in the AJK capital 
    ",22/03/2013
"‘No-go areas’ in Lyari: Contradictory statements by police, Rangers irk SC","Police and Rangers invited the ire of the Supreme Court by submitting contradictory statements about ‘no-go areas’ in Lyari 
    ",22/03/2013
BNP-M chief returning on Monday,"KARACHI, March 21: Sardar Akhtar Mengal, the self-exiled leader of Balochistan National Party-Mengal (BNP-M), is returning home on March 25, it is reliably learnt 
    ",22/03/2013
Blasts damage railway tracks,"KARACHI, March 21: Low-intensity bomb explosions partly damaged railway tracks in Karachi and Hyderabad on Thursday and affected rail traffic, police and Pakistan Railways officials said 
    ",22/03/2013
Balochistan govt contract employees regularised,"QUETTA, March 21: The Balochistan government has decided to regularise the services of all those employees who are working in various provincial departments on a contract basis, sources said 
    ",22/03/2013
US drones kill four near Miramshah,"MIRAMSHAH, March 21: US drones fired two missiles at a vehicle in the country’s northwestern tribal belt on Thursday, killing four militants, security officials said 
    ",22/03/2013
Musharraf seeks protective bail,"Musharraf, the former president, has asked the Sindh High Court for protective bail in various cases pending against him. 
    ",22/03/2013
"NP, BNP-A start ticket awarding process","QUETTA, March 21: The National Party (NP) has called applications from its members to award tickets for taking part in general elections in Balochistan 
    ",22/03/2013
Nawab Barozai — a profile,"QUETTA, March 21: Nawab Ghous Bakhsh Barozai, who has been nominated for the post of caretaker chief minister of... 
    ",22/03/2013
Report urges US not to attempt to control Pakistan politics,"The United States should work with — not attempt to control — Pakistan’s internal political processes, says a new US report. 
    ",22/03/2013
IHC allows JUI-F to close ‘book’,"ISLAMABAD, March 21: The Jamiat Ulma-i-Islam-Fazl (JUI-F) finally got its desired election symbol after the Islamabad High Court (IHC) on Thursday directed the Election Commission of Pakistan (ECP) to allot the party ‘closed book’ 
    ",22/03/2013
Mumbai attacks case: Suspects issued notice for voice sampling,"ISLAMABAD, March 21: The Islamabad High Court (IHC) on Thursday admitted for regular hearing a petition filed by the Federal Investigation (FIA) seeking permission to obtain voice samples of seven Pakistani suspects in the Mumbai attacks case 
    ",22/03/2013
Deceased surgeon’s brother also contracts swine flu,"RAWALPINDI, March 21: The elder brother of a surgeon from Gujar Khan who died of Swine Flu (H1N1 influenza) here two days back has also contracted the disease 
    ",22/03/2013
A political death foretold,"ISLAMABAD: Last week a couple of PML-Q ministers bid farewell to their party Sheikh Waqas Akram, the former federal minister for training and education, headed straight into the anxious but welcoming arms of the PML-N while Sardar Bahadur Ahmad Sehar, the 
    ",22/03/2013
ACs to supervise campaign: Local vaccinators to conduct anti-polio drive in Peshawar,"PESHAWAR, March 21: The government will depute four assistant commissioners and recruit women vaccinators to strengthen anti-polio vaccination programme at community level in Peshawar, according to officials 
    ",22/03/2013
Blast kills two girls in Sakhakot,"BATKHELA/GHALANAI, March 21: Two young girls were killed when an explosive device, they were playing with, went off in a house in Sakhakot area of Malakand on Thursday 
    ",22/03/2013
Ex-women MPAs feel political culture not favourable,"PESHAWAR, March 21: Majority of the women elected to the last Khyber Pakhtunkhwa Assembly on reserved seats have applied for tickets of their respective parties for the upcoming elections but many feel political culture is still not favourable for them 
    ",22/03/2013
Award of tickets deepens rift in PPP,"Insiders say that after announcing its candidates, it will not be easy for the KP chapter of PPP to achieve its target of getting 20-30 seats in the provincial assembly. 
    ",27/03/2013
"Imran, Nawab of Bahawalpur reach seat-adjustment accord","Imran Khan has a word of advice for caretaker Prime Minister retired Justice Mir Hazar Khan Khoso: concentrate only on holding free and fair elections. 
    ",27/03/2013
Barozai holds meetings with leaders of parties,"Balochistan CM has initiated contacts with leaders of different political parties and tribal elders to seek their help to ensure free, fair and transparent elections in the province. 
    ",27/03/2013
Three militants killed in attack on checkpost,"Three militants were killed and a security official was injured as Afghanistan-based militants attacked a checkpoint along the border in Nawagai tehsil of Bajaur tribal region. 
    ",27/03/2013
Health secretary told to report on hospital’s functioning,"QUETTA, March 26: A division bench of the Balochistan High Court has asked the provincial health secretary to visit headquarters of the Musakhel district and find out if the government hospital there was functioning or not 
    ",27/03/2013
US official meets secretary,"ISLAMABAD, March 26: With Pakistan-US contacts over Afghan reconciliation picking up, the US Acting Special Representative on Afghanistan and Pakistan, David Pearce, on Tuesday met Foreign Secretary Jalil Abbas Jilani to discuss Pakistan’s support for pea 
    ",27/03/2013
Commercial operation of single point mooring: Talks with Ogra under way: Byco,"ISLAMABAD, March 26: Byco Oil Pakistan Limited has said that it is holding negotiations with the Oil and Gas Regulatory Authority (Ogra), seeking permission to start commercial operations of its Single Point Mooring (SPM) facility to put its recently comp 
    ",27/03/2013
PHC gets seven more judges,"PESHAWAR, March 26: Seven Peshawar High Court additional judges on Tuesday took oath increasing the court’s strength to 18. 
    ",27/03/2013
FC personnel kidnap Pesco men over power cut,"MANSEHRA, March 26: The Frontier Constabulary personnel on Tuesday allegedly raided Oghi power grid station and took away three Peshawar Electric Supply Company (Pesco) officials after the disconnection of 
    ",27/03/2013
ANP names its candidates,"PESHAWAR, March 26: The Awami National Party, a major partner in the previous coalition government, on Tuesday released the list of its candidates to contest general election to the National Assembly and Khyber 
    ",27/03/2013
Dir women ‘allowed’ to cast vote,"TIMERGARA, March 26: All political and religious parties in Lower Dir agreed on Tuesday to back women’s participation in voting and follow the election code of conduct during the upcoming general election. 
    ",27/03/2013
Man killed in grenade attack,"MINGORA, March 26: A man was killed in a hand grenade attack in Matta area of Swat district on Tuesday. 
    ",27/03/2013
ANP dissidents to take on party candidates in polls,"PESHAWAR, March 26: A group of dissident workers of Awami National Party (ANP) has decided to contest elections independently against the party’s candidates in Peshawar. 
    ",27/03/2013
Accomplice of wanted man held,"A close associate of a suspect wanted in dozens of targeted killing and extortion cases was arrested by the counter-terrorism wing of the CID during a raid. 
    ",01/04/2013
"Akhtar Mengal, Shahzain file nomination papers","Hundreds have filed papers for 14 NA seats and 51 provincial seats from Balochistan. 
    ",01/04/2013
Two FC men injured in blast,"QUETTA, March 31: Two Frontier Corps personnel were injured on Sunday when a remote-controlled bomb planted in Sariab area went off, police said. 
    ",01/04/2013
Ministry sets up cell for election security,"The appointment of the security cell's head has sparked a controversy. 
    ",01/04/2013
Strict ECP scrutiny delays award of party tickets,"The ECP's strict scrutiny procedure has forced parties to delay award of tickets to candidates. 
    ",01/04/2013
EC fails to finalise candidates’ list,"The election authorities could not finalise the list of candidates from Karachi for 20 seats of the National Assembly and 42 of the Sindh Assembly. 
    ",01/04/2013
"Two NA seats in Islamabad: Musharraf, Hashmi file papers","As many as 143 candidates filed nomination papers for the two NA seats of Islamabad. 
    ",01/04/2013
Gambling away an election,"RAWALPINDI, March 31: With the country set to go to poll on May 11, these are the busiest days of a year for Yasir Mehmood - a bookmaker in the garrison city. 
    ",01/04/2013
Sketches to help police trace rocket suspects,"RAWALPINDI, March 31: A day after a security guard spotted two men dropping “a sack containing four rockets” in a housing society near Central Jail Adiala, police search operations have collected more than 30 people, 
    ",01/04/2013
Tougher preservation sought: Environmentalists want law amended,"ISLAMABAD, March 31: Conservationists have a reason to believe that the current laws, aimed at protecting the natural environment, are more of a ‘recipe for disaster’. 
    ",01/04/2013
Land dispute leads to shootout,"RAWALPINDI, March 31: Initially feared to be a sectarian incident, a clash between two groups, which left one man dead and another in critical condition, turned out to be a dispute over property. 
    ",01/04/2013
Man dies in elevator,"ISLAMABAD, March 31: On Sunday, a 35-year-old man, trapped in a stalled elevator for an hour, died from suffocation. 
    ",01/04/2013
Pakistani woman to join 60-year celebrations on Everest,"ISLAMABAD, March 31: Climbers will be gathering at the Mount Everest in April to celebrate the 60 years since it was first summated in 1953. Samina Beg, 21, is about to become the first Pakistani woman to be part of it. 
    ",01/04/2013
"The lawyer, the Haveli and the tiger of Punjab","Sheikh Rashid Ahmad’s Laal Haveli stands fort-like across the street from Rawalpindi’s Moti Bazaar, guarded by sandbags and private security guards strapped with guns. 
    ",01/04/2013
"JUI-F to protect rights of workers, peasants: Fazl","“We have brought a manifesto of Islam that guarantees rights of workers and haris,” Maulana Fazlur Rehman, said. 
    ",01/04/2013
"Only PTI can end terrorism, says Imran","MINGORA, March 31: Pakistan Tehreek-i-Insaaf (PTI) was the only party that could resolve the issue of terrorism in the country, claimed Imran Khan. 
    ",01/04/2013
‘Q’ provincial chief joins JUI-F,"MANSEHRA, March 31: The provincial president of Pakistan Muslim League-Q, Syed Qasim Shah, has joined Jamiat Ulema-i-Islam-Fazl to contest election for a National Assembly seat on its ticket. 
    ",01/04/2013
99 nomination papers filed for four NA seats of Peshawar,"PESHAWAR, March 31: As many as 99 nomination papers were filed by candidates for the four National Assembly constituencies and 263 papers for 11 provincial assembly constituencies of Peshawar, as the time for filing of nomination 
    ",01/04/2013
ANP-backed panel wins PHC bar election,"PESHAWAR, March 31: Senior advocate Ishtiaq Ibrahim of the lawyers’ panel affiliated with Awami National Party and Pakistan Muslim League-Nawaz was elected president and independent candidate Mohammad 
    ",01/04/2013
Religious parties form electoral alliance,"SWABI, March 31: Three religious parties have formed an alliance to support each other’s candidates across the country in the upcoming general elections. 
    ",01/04/2013
Policeman injured in Kohat attack,"KOHAT, March 31: A policeman was injured when unidentified armed persons attacked a party of law enforcers in Jungle Khel area here on Sunday. 
    ",01/04/2013
Youth killed,"DAGGAR, March 31: A policeman allegedly shot dead a young man in Kalpani area of Buner district here on Sunday. Zaheerullah, father of the victim, Saddam Hussain, (19), told the Gagra police station that his son was going home when their neighbour, 
    ",01/04/2013
Tribal woman takes great pains for daughters’ education,"PESHAWAR, March 31: ‘They are girls. Why are you going to great pains for their education?’ 
    ",01/04/2013
SC hears Gilani’s appeal today,"ISLAMABAD, March 31: An eight-judge bench of the Supreme Court will on Monday commence hearing of intra-court appeal (ICA) and review petition moved by former prime minister Yousuf Raza Gilani against his conviction and disqualification as parliamentarian 
    ",01/04/2013
Mumbai attack case: India ignores request for cross-examination,"RAWALPINDI, March 31: Indian authorities have not responded to Pakistan’s request for ensuring cross-examination of four Indian witnesses in the Mumbai attack case, the Federal Investigation Agency (FIA) has informed an anti-terrorism court (ATC) in Rawal 
    ",01/04/2013
Car attacked for violating curfew in N. Waziristan,"MIRAMSHAH, March 31: Four people were injured when a car was attacked in Spinwam tehsil of the North Waziristan tribal region for violating curfew on Sunday. 
    ",01/04/2013
Solar power generation to begin in ’16: official,"QUETTA, March 31: A Korean company will install a 300MW solar power plant near Quetta, investing an estimated $900 million, officials said. 
    ",01/04/2013
"Attack on Christian property: Police avoided engaging charged mob, SC told","The Punjab govt admitted that police had deliberately avoided engaging a violent mob which torched the houses of Christians at Joseph Colony. 
    ",04/04/2013
"Govt studying PIA chief’s appointment, SC informed","The federal govt informed the SC that PM Khoso was seized with a summary that sought to remove lacunas in the notification regarding appointment of retired Lt Gen Malik as chairman of the PIA. 
    ",04/04/2013
Balochistan EC to take decision on nomination papers after 7th,"The Balochistan EC has accepted nomination papers provisionally subject to submission of details about their income tax, bachelor’s degree and assets by the candidates. 
    ",04/04/2013
SC orders trial court to proceed against Amin Fahim,"SC dropped proceedings against Amin Fahim facing charges of involvement in the multi-billion-rupee NICL scam when it was informed that the FIA had submitted a charge-sheet against him in the court concerned. 
    ",04/04/2013
EU observer mission,"ISLAMABAD, April 3: The European Union has designated Michael Gahler, a member of the European Parliament (MEP), as chief of the mission that will be observing the general elections to be held on May 11. 
    ",04/04/2013
Ex-serviceman files complaint with NAB: Musharraf misused authority,"ISLAMABAD, April 3: A complaint has been filed with Admiral (retired) Fasih Bokari, the Chairman of the National Accountability Bureau, against former president General (retired) Pervez Musharraf. 
    ",04/04/2013
Clergy creates own financial market,"ISLAMABAD, April 3: Executives from the Islamabad Stock Exchange announced on Wednesday that religious elements had begun taking deposits from investors and offering extravagant returns. 
    ",04/04/2013
Kidnapped minor found dead,"ISLAMABAD, April 3: An Afghan child, who had been kidnapped for ransom a week back, was found dead here on Wednesday, and the kidnapper had been apprehended, police said. 
    ",04/04/2013
ECP seeks criminal record of candidates,"RAWALPINDI, April 3: The nomination and qualifying process for the upcoming general elections have recently grown more complicated, with yet another hurdle for candidates to face. 
    ",04/04/2013
Senate body discusses school curriculum,"ISLAMABAD, April 3: The Senate Standing Committee on Inter-Provincial Coordination showed concern over the preparation of school curriculum by ministries and subordinate departments, and suggested that the responsibility be shifted to professional teacher 
    ",04/04/2013
"Elections: ANP, PPP face daunting task in hostile Waziristan","PESHAWAR, April 3: Awami National Party and Pakistan People’s Party, the major coalition partners in the previous government, which had introduced Federally Administered Tribal Area (Fata) reforms, find it hard to get a level-playing field for their candi 
    ",04/04/2013
WHO team in Peshawar to monitor vaccination,"WHO mission comprising foreign experts arrived in the capital city to monitor polio campaigns in Peshawar in particular and in the province in general. 
    ",04/04/2013
Badam Zari kicks off poll campaign in Bajaur,"Badam Zari has launched her election campaign after acceptance of her nomination papers by the Election Commission of Pakistan (ECP). 
    ",04/04/2013
JI candidate sent to jail in Charsadda,"CHARSADDA, April 3: Jamaat-i-Islami candidate for PK-22 Hafiz Shafiullah was arrested after a local court rejected his pre-arrest bail here on Wednesday. 
    ",04/04/2013
Verdict in ex-minister’s degree case today,"PESHAWAR, April 3: The Peshawar district and sessions judge on Wednesday reserved its judgment on an Election Commission of Pakistan petition, which charged former provincial minister Syed Aqil Shah with submitting fake graduation degree to contest the 20 
    ",04/04/2013
Top health officials arrested over drugs purchase,"PESHAWAR, April 3: The anti-corruption department on Wednesday arrested three persons, including director general health and the head of the Provincial Hepatitis Control Programme, for their involvement in purchase of substandard injections and vaccines w 
    ",04/04/2013
Swara victim calls for protection,"TIMERGARA, April 3: A 12-year-old swara victim on Wednesday appealed to the chief justice of Pakistan and the caretaker provincial chief minister to provide her and her brother with justice and adequate safety, saying a local jirga is pressuring her to ma 
    ",04/04/2013
Two killed for honour,"ABBOTTABAD, April 3: A man killed his daughter and her alleged paramour in Lora village of Havelian on Wednesday. 
    ",04/04/2013
"ECP, ministry mull e-voting for overseas Pakistanis","ECP and the law ministry held a meeting to review e-voting facility for overseas Pakistanis for polls. 
    ",10/04/2013
Anti-PPP alliance wants officials replaced,"The demand was made at a press conference addressed after an 11-hour meeting at the PML-F secretariat on Tuesday by the alliance’s leaders. 
    ",10/04/2013
WB sets up ‘Centre of Excellence’ at PU,"WB has established a ‘Centre of Excellence’ at the University of Punjab in Lahore to address the issue of management of land acquisition, resettlement and rehabilitation. 
    ",10/04/2013
"Seat adjustment: PPP, PML-Q fail to resolve differences","The Chaudhrys called on Zardari, to resolve the issue of seat adjustment for the general elections. 
    ",10/04/2013
Statements by militants: BHC seeks explanation,"The court directed the Geo management to submit recording of the news segment broadcast on April 8, which mentioned the threat of Hakeemullah Mehsud. 
    ",10/04/2013
Blank column in ballot paper welcomed,"The decision to introduce a blank column in the ballot paper is a welcome step. 
    ",10/04/2013
Fee imposed on electioneering The political profit,"RAWALPINDI, April 9: The City District Government Rawalpindi (CDGR) on Tuesday introduced a new fee to be taken from all political parties who want to project their candidates for election 2013. 
    ",10/04/2013
Sikh pilgrims arriving today for Baisakhi,"TAXILA, April 9: Almost 3,000 Sikh pilgrims from India are expected to arrive at Gurdwara Punja Sahib, Hassanabdal on Wednesday to celebrate the Sikh baptism ceremony, Baisakhi, also known as the harvest festival. 
    ",10/04/2013
HEC consent must to open new varsities,"ISLAMABAD, April 9: The governing body of the Higher Education Commission (HEC) on Tuesday expressed concern over the opening of new universities and grant of charters without obtaining the mandatory no-objection certificate from the HEC. 
    ",10/04/2013
36 appeals filed with election tribunal,"RAWALPINDI, April 9: Former opposition leader in the National Assembly Chaudhry Nisar Ali Khan on Tuesday filed an appeal with the election tribunal against the rejection of his nomination papers in NA-53 Taxila. 
    ",10/04/2013
Steps urged to reassure women voters,"ISLAMABAD, April 9: Although the National Commission on the Status of Women (NCSW) appreciated measures taken to ensure participation of women in the upcoming elections, the statutory body believes there remains a lot more to do. 
    ",10/04/2013
Rape victim’s body exhumed,"ISLAMABAD, April 9: The body of a police officer’s daughter, who was raped and murdered in November last year, was exhumed for collecting samples on Tuesday. 
    ",10/04/2013
Mortar shells hit Peshawar; 22 hurt,"PESHAWAR, April 9: Suspected militants on Tuesday fired seven mortar shells from the tribal area on Hayatabad area of Peshawar, injuring 22 people and damaging several houses and vehicles. 
    ",10/04/2013
Categorisation of private schools begins in KP,"The BISE, Peshawar has initiated the process of categorisation of private educational institutions. 
    ",10/04/2013
Contestant vows to work for women rights,"TANK, April 9: Gulana Bibi, 70-year-old illiterate woman candidate for PK-69, Tank seat, on Tuesday said if the people elected her to the assembly, she would work for protection of women’s rights, better educational facilities and provision 
    ",10/04/2013
Boy injured as toy bomb goes off in Bara,"LANDI KOTAL, April 9: A ten-year-old boy was critically wounded when he picked up a toy bomb in Bara on Tuesday. 
    ",10/04/2013
PHC annoyed at official apathy over Wapda men’s abduction,"PESHAWAR, April 9: The Peshawar High Court on Tuesday directed the administrations of North and South Waziristan agencies and high-ups of Wapda, and finance, interior and defence ministries to meet and plan the recovery of eight Gomal 
    ",10/04/2013
CM for expediting work on hydel power plants,"PESHAWAR, April 9: The Khyber Pakhtunkhwa caretaker Chief Minister Justice (retd) Tariq Parvez Khan has asked for expediting work on the hydel power projects to resolve the issue of energy crisis in the province. 
    ",10/04/2013
"Over 65,000 personnel to guard polling stations in KP","More than 65,000 police personnel would be deployed at the polling stations, during the upcoming general elections in KP. 
    ",10/04/2013
An overview of 1988 general elections: Triumph but no glory,"The political discourse following Zia's death is a story of the struggle to bring the system back to normalcy. The 1988 elections were the first major step in this direction. 
    ",11/04/2013
Balochistan leaders assured of security,"PM Khoso said the govt would ensure full security of the leaders of the parties and candidates taking part in the elections and take all possible steps for a smooth election process across the country. 
    ",11/04/2013
About politicians and their shifting loyalties,"PESHAWAR, April 10: For politicians in most countries, switching parties is a once-in-a-career move made only after careful thought. But in Pakistan, changing sides to gain advantage is standard practice. 
    ",11/04/2013
Commission gets details of politicians’ loans,"The central bank has reported to the ECP that Chaudhry Ahmed Mukhtar had obtained loans worth more than Rs4.6 billion from banks in the name of PIA. 
    ",11/04/2013
9 militants killed in Orakzai gunbattle,"KALAYA, April 10: Nine militants were killed and two security personnel injured in a gunbattle in Orakzai tribal region on Wednesday. 
    ",11/04/2013
Benazir’s first victory,"“Can we call you prime minister”? Ms Bhutto responded: “We can’t be that arrogant,” adding after a deliberate pause and a big smile, “yet”. 
    ",11/04/2013
PHC orders regular budget for wildlife department,"PESHAWAR, April 10: The Peshawar High Court on Wednesday directed the provincial finance department to allocate regular budget to the wildlife department within two months for increasing its staff, including watchmen, and other facilities to check poachin 
    ",11/04/2013
"Militant threats: No ANP, PPP flags in Wana","Workers of ANP and PPP will not hoist their parties’ flags in Wana due to militant threats. 
    ",11/04/2013
Fazl says parties purchasing loyalty of voters,"Chief of his own faction of JUI Maulana Fazlur Rehman has said his party does not believe in ‘purchasing’ loyalties of voters. 
    ",11/04/2013
Dissidents likely to give tough time to PPP,"The dissidents of PPP, have decided to give tough time to the ticket holders of the party during the upcoming elections. 
    ",11/04/2013
Three challenge acceptance of Musharraf’s papers,"PESHAWAR, April 10: Three people, including two candidates, on Wednesday challenged acceptance of former president Pervez Musharraf’s nomination papers for NA-32, Chitral, at an appellate tribunal here. 
    ",11/04/2013
Court dissatisfied with murder probe,"PESHAWAR, April 10: A bench of the Peshawar High Court on Wednesday expressed dissatisfaction over the investigation in killing of a woman under mysterious circumstances at one of the leading hospitals of the provincial capital and directed the police and 
    ",11/04/2013
Houses of two outlaws razed in Diamer,"GILGIT, April 10: Police demolished houses of two high profile proclaimed offenders who were wanted in the murder of DSP Attaullah, officials said on Tuesday. 
    ",11/04/2013
PML-N leader joins ‘Q’ League,"PESHAWAR, April 10: A PML-N leader Haji Shahid Noor along with his family members and supporters has announced joining the PML-Q. 
    ",11/04/2013
Old rivalries,"The war drums are beating in Gujrat as heavyweights square off for the polls. Party lines are being crossed, local alliances made and broken every day. 
    ",11/04/2013
Delay in award of tickets disrupts PTI campaign,"Delay in award of party tickets by PTI has created unrest among its workers, as the nominees of other parties have already kicked off canvassing. 
    ",11/04/2013
Interior Secretary’s statement in SC: Notification was not issued for ex-PMs’ perks,"The court had taken suo motu notice of reported security protocol and perks and privileges for former PMs Ashraf and Gilani and former interior minister Rehman Malik. 
    ",19/04/2013
"Musharraf will surrender on SC orders, says APML","The All Pakistan Muslim League (APML) said its chief retired Gen Pervez Musharraf will accept whatever decision the Supreme Court takes on Friday about his arrest. 
    ",19/04/2013
Re-entry of Raja in poll rejuvenates supporters,"GUJJAR KHAN, April 18: The re-entry of former prime minister Raja Pervez Ashraf into the election arena and the permission granted to him to contest the NA 51 seat (Gujjar Khan) has rejuvenated his supporters and PPP activists. 
    ",19/04/2013
Bad roads affecting relief work in quake-hit areas,"Bad condition of roads and dust storms are causing hindrance in transportation of relief goods to people affected by Tuesday’s earthquake in the border town of Mashkel. 
    ",19/04/2013
Gayari operation resumes,"RAWALPINDI, April 18: The army has resumed search for 19 of the 140 soldiers buried in a huge landslide in Gayari sector in April last year, the Inter-Services Public Relations announced on Thursday. 
    ",19/04/2013
